"연도","자치구명","여자","살인","강도","강간","절도","폭력","건수"
2016,"강동구",20151,4,14,160,1754,2530,5244
2017,"종로구",12044,7,10,253,1644,2143,4057
2017,"중구",10338,1,9,267,1846,2061,4184
2017,"용산구",17900,1,5,327,1346,2381,4060
2017,"성동구",19103,1,3,132,1072,1559,2767
2017,"광진구",28236,6,13,261,2220,2146,4646
2017,"동대문구",26392,11,4,165,1547,2249,3975
2017,"중랑구",23543,5,4,172,1533,2858,4571
2017,"성북구",29683,7,8,173,1344,1902,3434
2017,"강북구",21273,8,7,208,1014,2156,3393
2017,"도봉구",16376,1,3,104,633,1258,1999
2017,"노원구",28525,4,9,180,1538,2478,4209
2017,"은평구",25808,6,4,230,1387,2256,3883
2017,"서대문구",24527,4,1,202,1230,1676,3113
2017,"마포구",30126,3,8,500,2094,2673,5278
2017,"양천구",17836,3,3,138,1590,2148,3882
2017,"강서구",36703,11,4,316,1888,2916,5135
2017,"구로구",21618,7,8,328,1725,2823,4895
2017,"금천구",14623,5,5,240,1141,1874,3265
2017,"영등포구",25198,15,5,455,2304,2190,5969
2017,"동작구",27966,1,7,396,1226,1700,3330
2017,"관악구",49787,8,7,379,1979,3152,5525
2017,"서초구",22219,9,13,470,1812,2404,4708
2017,"강남구",36259,7,20,607,3130,3956,7720
2017,"송파구",31947,6,1,288,2274,3007,5576
2017,"강동구",20986,5,10,172,1645,2429,4261
2018,"종로구",12691,6,3,236,1483,1962,3690
2018,"중구",10751,2,11,207,1855,1955,4030
2018,"용산구",18446,1,3,331,1096,1980,3411
2018,"성동구",20397,2,5,126,999,1325,2457
2018,"광진구",29280,7,2,229,1769,1908,3915
2018,"동대문구",27495,2,5,145,1447,2081,3680
2018,"중랑구",24496,4,3,174,1526,2581,4288
2018,"성북구",30359,7,1,183,1164,1687,3042
